industry,year,person_count_thousand
"Total, all industries ",2015,6862.7
"Total, all industries ",2016,6934.5
"Total, all industries ",2017,7109.2
"Total, all industries ",2018,7240.4
"Total, all industries ",2019,7412.9
"Total, all industries ",2020,7043.4
"Total, all industries ",2021,7404.8
"Total, all industries ",2022,7764.1
"Total, all industries ",2023,8006.1
"Total, all industries ",2024,8146.1
"Total, all industries ",2025,8227
Goods-producing sector ,2015,1401.7
Goods-producing sector ,2016,1435.6
Goods-producing sector ,2017,1463.5
Goods-producing sector ,2018,1482.3
Goods-producing sector ,2019,1476.3
Goods-producing sector ,2020,1423.5
Goods-producing sector ,2021,1480.9
Goods-producing sector ,2022,1558.9
Goods-producing sector ,2023,1619
Goods-producing sector ,2024,1583.5
Goods-producing sector ,2025,1575.5
Agriculture ,2015,74
Agriculture ,2016,75.9
Agriculture ,2017,68.3
Agriculture ,2018,71.9
Agriculture ,2019,74.5
Agriculture ,2020,68.2
Agriculture ,2021,66.7
Agriculture ,2022,72.3
Agriculture ,2023,77.3
Agriculture ,2024,71.7
Agriculture ,2025,65.3
"Forestry, fishing, mining, quarrying, oil and gas ",2015,41.3
"Forestry, fishing, mining, quarrying, oil and gas ",2016,32.7
"Forestry, fishing, mining, quarrying, oil and gas ",2017,32.5
"Forestry, fishing, mining, quarrying, oil and gas ",2018,32.6
"Forestry, fishing, mining, quarrying, oil and gas ",2019,34.8
"Forestry, fishing, mining, quarrying, oil and gas ",2020,34.7
"Forestry, fishing, mining, quarrying, oil and gas ",2021,35.4
"Forestry, fishing, mining, quarrying, oil and gas ",2022,39.2
"Forestry, fishing, mining, quarrying, oil and gas ",2023,43.2
"Forestry, fishing, mining, quarrying, oil and gas ",2024,43.3
"Forestry, fishing, mining, quarrying, oil and gas ",2025,44.6
Forestry and logging and support activities for forestry,2015,7.2
Forestry and logging and support activities for forestry,2016,6
Forestry and logging and support activities for forestry,2017,5
Forestry and logging and support activities for forestry,2018,5
Forestry and logging and support activities for forestry,2019,4.6
Forestry and logging and support activities for forestry,2020,7.5
Forestry and logging and support activities for forestry,2021,5.8
Forestry and logging and support activities for forestry,2022,5.6
Forestry and logging and support activities for forestry,2023,5
Forestry and logging and support activities for forestry,2024,5.1
Forestry and logging and support activities for forestry,2025,5.3
"Fishing, hunting and trapping",2015,x
"Fishing, hunting and trapping",2016,x
"Fishing, hunting and trapping",2017,x
"Fishing, hunting and trapping",2018,x
"Fishing, hunting and trapping",2019,x
"Fishing, hunting and trapping",2020,x
"Fishing, hunting and trapping",2021,x
"Fishing, hunting and trapping",2022,x
"Fishing, hunting and trapping",2023,x
"Fishing, hunting and trapping",2024,x
"Fishing, hunting and trapping",2025,x
"Mining, quarrying, and oil and gas extraction ",2015,33
"Mining, quarrying, and oil and gas extraction ",2016,26.6
"Mining, quarrying, and oil and gas extraction ",2017,27.1
"Mining, quarrying, and oil and gas extraction ",2018,27.3
"Mining, quarrying, and oil and gas extraction ",2019,29.8
"Mining, quarrying, and oil and gas extraction ",2020,26.4
"Mining, quarrying, and oil and gas extraction ",2021,29
"Mining, quarrying, and oil and gas extraction ",2022,33.4
"Mining, quarrying, and oil and gas extraction ",2023,38
"Mining, quarrying, and oil and gas extraction ",2024,38
"Mining, quarrying, and oil and gas extraction ",2025,38.9
Utilities,2015,49.5
Utilities,2016,52
Utilities,2017,48.2
Utilities,2018,52.8
Utilities,2019,51.2
Utilities,2020,49.6
Utilities,2021,53.4
Utilities,2022,61.3
Utilities,2023,64.5
Utilities,2024,59.5
Utilities,2025,66.3
Construction,2015,469.8
Construction,2016,492.4
Construction,2017,514.5
Construction,2018,526.2
Construction,2019,539
Construction,2020,532.1
Construction,2021,543.2
Construction,2022,588.4
Construction,2023,605.4
Construction,2024,578.9
Construction,2025,577.5
Manufacturing,2015,767.2
Manufacturing,2016,782.6
Manufacturing,2017,799.9
Manufacturing,2018,798.8
Manufacturing,2019,776.8
Manufacturing,2020,738.9
Manufacturing,2021,782.2
Manufacturing,2022,797.7
Manufacturing,2023,828.5
Manufacturing,2024,830.2
Manufacturing,2025,821.8
Durables,2015,485.9
Durables,2016,508.3
Durables,2017,526.3
Durables,2018,515.1
Durables,2019,488
Durables,2020,463.5
Durables,2021,493.2
Durables,2022,508.1
Durables,2023,540.3
Durables,2024,527.9
Durables,2025,511.2
Non-durables,2015,281.3
Non-durables,2016,274.3
Non-durables,2017,273.6
Non-durables,2018,283.7
Non-durables,2019,288.9
Non-durables,2020,275.4
Non-durables,2021,289
Non-durables,2022,289.6
Non-durables,2023,288.2
Non-durables,2024,302.3
Non-durables,2025,310.6
Services-producing sector ,2015,5461
Services-producing sector ,2016,5499
Services-producing sector ,2017,5645.7
Services-producing sector ,2018,5758.1
Services-producing sector ,2019,5936.5
Services-producing sector ,2020,5620
Services-producing sector ,2021,5923.9
Services-producing sector ,2022,6205.2
Services-producing sector ,2023,6387.2
Services-producing sector ,2024,6562.6
Services-producing sector ,2025,6651.4
Wholesale and retail trade,2015,1061.1
Wholesale and retail trade,2016,1058.1
Wholesale and retail trade,2017,1103.1
