North American Industry Classification System (NAICS) ,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Total, all industries ","6,862.70","6,934.50","7,109.20","7,240.40","7,412.90","7,043.40","7,404.80","7,764.10","8,006.10","8,146.10","8,227.00"
Goods-producing sector ,"1,401.70","1,435.60","1,463.50","1,482.30","1,476.30","1,423.50","1,480.90","1,558.90","1,619.00","1,583.50","1,575.50"
Agriculture ,74,75.9,68.3,71.9,74.5,68.2,66.7,72.3,77.3,71.7,65.3
"Forestry, fishing, mining, quarrying, oil and gas ",41.3,32.7,32.5,32.6,34.8,34.7,35.4,39.2,43.2,43.3,44.6
Forestry and logging and support activities for forestry,7.2,6,5,5,4.6,7.5,5.8,5.6,5,5.1,5.3
"Fishing, hunting and trapping",x,x,x,x,x,x,x,x,x,x,x
"Mining, quarrying, and oil and gas extraction ",33,26.6,27.1,27.3,29.8,26.4,29,33.4,38,38,38.9
Utilities,49.5,52,48.2,52.8,51.2,49.6,53.4,61.3,64.5,59.5,66.3
Construction,469.8,492.4,514.5,526.2,539,532.1,543.2,588.4,605.4,578.9,577.5
Manufacturing,767.2,782.6,799.9,798.8,776.8,738.9,782.2,797.7,828.5,830.2,821.8
Durables,485.9,508.3,526.3,515.1,488,463.5,493.2,508.1,540.3,527.9,511.2
Non-durables,281.3,274.3,273.6,283.7,288.9,275.4,289,289.6,288.2,302.3,310.6
Services-producing sector ,"5,461.00","5,499.00","5,645.70","5,758.10","5,936.50","5,620.00","5,923.90","6,205.20","6,387.20","6,562.60","6,651.40"
Wholesale and retail trade,"1,061.10","1,058.10","1,103.10","1,098.70","1,118.70","1,057.20","1,104.80","1,151.90","1,139.20","1,125.60","1,150.80"
Wholesale trade,289.3,289.2,275,267.4,265,245.1,262.5,280.9,287.4,284.1,285.3
Retail trade,771.8,768.9,828.1,831.4,853.6,812.1,842.2,871,851.8,841.5,865.6
Transportation and warehousing,318.9,329.2,337.7,370.7,393.8,349.5,365,380.6,401.8,421.6,417.9
"Finance, insurance, real estate, rental and leasing",529.4,540.6,552.6,569.7,600,599,629.4,670.6,679.5,703.4,717.9
Finance and insurance,376.3,404.5,401.1,420,433.2,453.1,467,497,519,528.8,546
Real estate and rental and leasing,153,136,151.4,149.7,166.8,145.9,162.3,173.6,160.5,174.5,171.9
"Professional, scientific and technical services",571.6,580.7,620.9,638.5,676,692.1,757,803,836.9,900,911.1
"Business, building and other support services ",329.6,312.9,305.4,318.3,309.4,283.9,279.8,282.6,281.1,290.7,278.5
Educational services,509.4,496.5,492.7,515.3,532,513.6,552.1,570.9,580.1,605.8,601.4
Health care and social assistance,796,817.5,850.7,850.1,890.6,857.8,900.8,935.9,981.1,"1,007.10","1,021.80"
"Information, culture and recreation",296.7,307.1,305.4,301.2,304.9,273.2,298,317.6,326,326.1,352.8
Accommodation and food services,440.2,441.9,443.5,465.6,457.6,345.9,367.1,395.8,425.5,420.5,439.2
Other services (except public administration),264.9,269.1,278.3,285.2,290.8,263.4,258.4,251.3,273.1,289.5,288.7
Public administration,343.2,345.5,355.5,344.5,362.7,384.3,411.5,445.1,462.9,472.3,471.3
