labour_characteristic,date,person_count,Unit
Population ,2015-01-01,11229.5,Thousands
Population ,2015-02-01,11234.1,Thousands
Population ,2015-03-01,11239.5,Thousands
Population ,2015-04-01,11246.1,Thousands
Population ,2015-05-01,11254.1,Thousands
Population ,2015-06-01,11266.7,Thousands
Population ,2015-07-01,11278,Thousands
Population ,2015-08-01,11288.9,Thousands
Population ,2015-09-01,11301.9,Thousands
Population ,2015-10-01,11312.1,Thousands
Population ,2015-11-01,11321.3,Thousands
Population ,2015-12-01,11330.7,Thousands
Population ,2016-01-01,11342,Thousands
Population,2016-02-01,11355.7,Thousands
Population,2016-03-01,11366.9,Thousands
Population,2016-04-01,11378.4,Thousands
Population,2016-05-01,11394.2,Thousands
Population,2016-06-01,11409.7,Thousands
Population,2016-07-01,11426.6,Thousands
Population,2016-08-01,11445.5,Thousands
Population,2016-09-01,11460.3,Thousands
Population,2016-10-01,11474.8,Thousands
Population,2016-11-01,11488.1,Thousands
Population,2016-12-01,11500.6,Thousands
Population,2017-01-01,11517.2,Thousands
Population,2017-02-01,11529.5,Thousands
Population,2017-03-01,11544.1,Thousands
Population,2017-04-01,11559,Thousands
Population,2017-05-01,11578.5,Thousands
Population,2017-06-01,11595.4,Thousands
Population,2017-07-01,11613.8,Thousands
Population,2017-08-01,11636.5,Thousands
Population,2017-09-01,11653.2,Thousands
Population,2017-10-01,11670.3,Thousands
Population,2017-11-01,11687.2,Thousands
Population,2017-12-01,11704.1,Thousands
Population,2018-01-01,11728,Thousands
Population,2018-02-01,11744,Thousands
Population,2018-03-01,11761.8,Thousands
Population,2018-04-01,11784.7,Thousands
Population,2018-05-01,11803.5,Thousands
Population,2018-06-01,11823.9,Thousands
Population,2018-07-01,11847.5,Thousands
Population,2018-08-01,11863.2,Thousands
Population,2018-09-01,11878.8,Thousands
Population,2018-10-01,11894.2,Thousands
Population,2018-11-01,11908.3,Thousands
Population,2018-12-01,11921.8,Thousands
Population,2019-01-01,11939.2,Thousands
Population,2019-02-01,11950.8,Thousands
Population,2019-03-01,11965,Thousands
Population,2019-04-01,11984.1,Thousands
Population,2019-05-01,12000.6,Thousands
Population,2019-06-01,12020.1,Thousands
Population,2019-07-01,12047,Thousands
Population,2019-08-01,12068.8,Thousands
Population,2019-09-01,12093.8,Thousands
Population,2019-10-01,12114.3,Thousands
Population,2019-11-01,12132.4,Thousands
Population,2019-12-01,12148.9,Thousands
Population,2020-01-01,12166.5,Thousands
Population,2020-02-01,12184.3,Thousands
Population,2020-03-01,12205.2,Thousands
Population,2020-04-01,12217.8,Thousands
Population,2020-05-01,12229,Thousands
Population,2020-06-01,12244.8,Thousands
Population,2020-07-01,12258.5,Thousands
Population,2020-08-01,12270.6,Thousands
Population,2020-09-01,12284.2,Thousands
Population,2020-10-01,12293.1,Thousands
Population,2020-11-01,12300.2,Thousands
Population,2020-12-01,12304.6,Thousands
Population,2021-01-01,12309.7,Thousands
Population,2021-02-01,12316.9,Thousands
Population,2021-03-01,12321.6,Thousands
Population,2021-04-01,12325.1,Thousands
Population,2021-05-01,12328.1,Thousands
Population,2021-06-01,12339.8,Thousands
Population,2021-07-01,12353.6,Thousands
Population,2021-08-01,12372.1,Thousands
Population,2021-09-01,12388,Thousands
Population,2021-10-01,12406.8,Thousands
Population,2021-11-01,12426.7,Thousands
Population,2021-12-01,12446.6,Thousands
Population,2022-01-01,12465,Thousands
Population,2022-02-01,12482.4,Thousands
Population,2022-03-01,12497.9,Thousands
Population,2022-04-01,12513.8,Thousands
Population,2022-05-01,12531.4,Thousands
Population,2022-06-01,12549.9,Thousands
Population,2022-07-01,12570.4,Thousands
Population,2022-08-01,12594.4,Thousands
Population,2022-09-01,12617.5,Thousands
Population,2022-10-01,12642.9,Thousands
Population,2022-11-01,12666.6,Thousands
Population,2022-12-01,12688.7,Thousands
Population,2023-01-01,12719,Thousands
Population,2023-02-01,12752.8,Thousands
Population,2023-03-01,12787.3,Thousands
Population,2023-04-01,12819.1,Thousands
Population,2023-05-01,12857.2,Thousands
