Labour force characteristics,Data type,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Population ,"Seasonally adjusted  (x 1,000)","11,229.50","11,234.10","11,239.50","11,246.10","11,254.10","11,266.70","11,278.00","11,288.90","11,301.90","11,312.10","11,321.30","11,330.70","11,342.00","11,355.70","11,366.90","11,378.40","11,394.20","11,409.70","11,426.60","11,445.50","11,460.30","11,474.80","11,488.10","11,500.60","11,517.20","11,529.50","11,544.10","11,559.00","11,578.50","11,595.40","11,613.80","11,636.50","11,653.20","11,670.30","11,687.20","11,704.10","11,728.00","11,744.00","11,761.80","11,784.70","11,803.50","11,823.90","11,847.50","11,863.20","11,878.80","11,894.20","11,908.30","11,921.80","11,939.20","11,950.80","11,965.00","11,984.10","12,000.60","12,020.10","12,047.00","12,068.80","12,093.80","12,114.30","12,132.40","12,148.90","12,166.50","12,184.30","12,205.20","12,217.80","12,229.00","12,244.80","12,258.50","12,270.60","12,284.20","12,293.10","12,300.20","12,304.60","12,309.70","12,316.90","12,321.60","12,325.10","12,328.10","12,339.80","12,353.60","12,372.10","12,388.00","12,406.80","12,426.70","12,446.60","12,465.00","12,482.40","12,497.90","12,513.80","12,531.40","12,549.90","12,570.40","12,594.40","12,617.50","12,642.90","12,666.60","12,688.70","12,719.00","12,752.80","12,787.30","12,819.10","12,857.20","12,898.60","12,938.40","12,981.30","13,019.30","13,059.90","13,100.30","13,142.00","13,188.90","13,232.40","13,273.70","13,320.50","13,364.30","13,404.90","13,450.20","13,490.00","13,526.80","13,557.00","13,581.40","13,605.10","13,627.10","13,642.90","13,662.20","13,681.10","13,692.60","13,705.60","13,715.20","13,722.80","13,732.80","13,741.80","13,748.50","13,751.50"
,Trend-cycle 10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labour force,"Seasonally adjusted  (x 1,000)","7,331.70","7,359.50","7,364.60","7,347.10","7,341.40","7,359.90","7,372.50","7,398.10","7,367.10","7,379.50","7,368.70","7,389.50","7,401.50","7,408.90","7,425.00","7,445.80","7,424.40","7,425.10","7,382.70","7,409.70","7,419.00","7,427.30","7,451.10","7,468.60","7,523.20","7,511.80","7,517.20","7,500.60","7,562.60","7,558.10","7,590.60","7,553.20","7,604.20","7,623.00","7,656.60","7,659.90","7,606.00","7,601.50","7,628.30","7,615.50","7,644.40","7,692.80","7,733.30","7,668.80","7,724.90","7,715.20","7,725.90","7,736.50","7,760.80","7,795.10","7,801.70","7,845.50","7,810.80","7,821.30","7,836.70","7,888.50","7,889.00","7,873.80","7,904.80","7,921.60","7,928.80","7,950.20","7,687.20","7,220.90","7,383.20","7,724.60","7,806.40","7,867.20","7,999.60","8,029.10","8,024.50","8,090.20","7,918.30","7,984.90","7,995.30","7,976.30","7,945.60","8,030.10","8,070.10","8,083.60","8,160.10","8,145.70","8,191.90","8,235.20","8,153.20","8,201.60","8,198.60","8,243.00","8,235.10","8,194.40","8,204.90","8,216.50","8,199.30","8,255.80","8,280.70","8,303.10","8,340.40","8,363.50","8,404.00","8,414.40","8,446.30","8,507.20","8,513.80","8,544.10","8,564.50","8,584.30","8,586.50","8,571.70","8,574.80","8,625.00","8,680.40","8,701.50","8,741.50","8,769.20","8,775.70","8,806.40","8,818.00","8,804.00","8,866.00","8,876.40","8,908.20","8,901.80","8,891.60","8,884.10","8,900.20","8,899.20","8,912.70","8,876.10","8,903.00","8,928.30","8,914.50","8,988.90"
,Trend-cycle 10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment,"Seasonally adjusted  (x 1,000)","6,820.60","6,846.70","6,854.10","6,838.80","6,867.80","6,876.70","6,873.60","6,884.10","6,855.20","6,862.70","6,858.30","6,884.40","6,906.00","6,908.20","6,911.50","6,907.30","6,938.40","6,944.40","6,918.40","6,930.80","6,939.80","6,955.60","6,981.60","6,986.10","7,028.90","7,037.00","7,040.40","7,048.10","7,079.10","7,085.80","7,132.40","7,135.90","7,161.50","7,177.40","7,207.70","7,205.40","7,172.10","7,174.20","7,204.70","7,209.20","7,201.10","7,239.80","7,306.40","7,226.90","7,288.20","7,292.30","7,289.10","7,307.80","7,322.60","7,358.80","7,344.40","7,381.40","7,403.40","7,403.60","7,391.80","7,446.60","7,458.70","7,444.60","7,471.40","7,506.10","7,516.90","7,501.20","7,036.80","6,346.90","6,334.00","6,751.40","6,913.90","7,047.50","7,234.20","7,278.10","7,302.90","7,288.20","7,112.70","7,227.60","7,371.80","7,228.90","7,196.40","7,324.70","7,429.90","7,463.10","7,553.10","7,596.90","7,662.20","7,716.40","7,552.30","7,737.90","7,753.10","7,784.20","7,791.00","7,773.10","7,788.20","7,772.80","7,751.20","7,804.30","7,819.50","7,864.00","7,900.40","7,932.10","7,961.70","7,992.20","7,981.30","8,029.90","8,037.70","8,052.40","8,067.10","8,055.40","8,063.90","8,038.20","8,051.00","8,054.60","8,092.50","8,114.10","8,152.50","8,155.40","8,175.10","8,170.30","8,203.10","8,180.20","8,172.90","8,210.00","8,234.20","8,245.70","8,221.60","8,193.60","8,198.10","8,208.30","8,216.30","8,190.30","8,200.20","8,252.50","8,256.40","8,274.50"
,"Trend-cycle 10  (x 1,000)","6,840.20","6,843.50","6,848.00","6,854.70","6,862.20","6,867.10","6,869.40","6,869.00","6,868.60","6,870.90","6,874.40","6,882.70","6,893.70","6,903.80","6,912.90","6,919.80","6,925.10","6,928.70","6,931.70","6,937.50","6,947.60","6,961.20","6,976.80","6,995.10","7,013.20","7,029.00","7,044.70","7,059.90","7,077.60","7,097.40","7,119.70","7,141.40","7,160.50","7,175.10","7,185.50","7,189.30","7,188.70","7,193.50","7,199.50","7,208.80","7,223.20","7,238.80","7,255.10","7,265.80","7,277.30","7,287.70","7,299.40","7,311.40","7,327.10","7,344.50","7,358.50","7,375.80","7,390.40","7,403.70","7,416.80","7,432.20","7,460.70","7,497.20","7,502.60","7,452.30","7,344.20","7,173.50","6,966.50","6,791.30","6,708.20","6,735.70","6,847.10","6,986.10","7,120.60","7,223.60","7,261.60","7,257.80","7,249.40","7,246.10","7,248.50","7,263.20","7,291.80","7,339.60","7,409.20","7,468.20","7,527.50","7,587.30","7,628.30","7,658.30","7,682.30","7,711.90","7,737.50","7,759.70","7,770.50","7,778.10","7,781.70","7,779.40","7,787.20","7,803.80","7,830.10","7,861.40","7,893.80","7,927.00","7,955.50","7,980.20","8,001.60","8,020.80","8,036.00","8,047.30","8,052.90","8,054.50","8,054.60","8,054.60","8,061.10","8,073.20","8,091.60","8,113.60","8,136.20","8,153.90","8,167.20","8,176.30","8,184.20","8,191.70","8,199.80","8,208.80","8,216.00","8,219.80","8,217.60","8,212.30","8,207.30","8,204.00","8,206.70","8,213.20","8,222.50","8,232.50","8,238.10","8,239.40"
Full-time employment ,"Seasonally adjusted  (x 1,000)","5,465.10","5,524.20","5,520.70","5,530.30","5,538.60","5,581.90","5,583.10","5,613.80","5,550.20","5,587.70","5,591.90","5,615.60","5,638.90","5,588.70","5,619.40","5,589.70","5,609.20","5,619.40","5,616.50","5,631.90","5,612.90","5,593.10","5,627.80","5,630.40","5,655.80","5,682.90","5,681.40","5,690.80","5,726.30","5,713.40","5,764.50","5,721.50","5,795.90","5,802.60","5,821.20","5,819.70","5,821.70","5,815.60","5,844.20","5,882.70","5,893.10","5,913.20","5,922.90","5,896.60","5,896.30","5,939.70","5,923.50","5,924.20","5,938.70","5,986.30","5,992.80","5,991.30","6,036.80","6,009.80","6,042.50","6,084.90","6,076.30","6,065.20","6,079.40","6,133.10","6,131.60","6,143.90","5,863.80","5,393.10","5,387.90","5,640.80","5,683.60","5,773.40","5,950.00","5,950.50","6,013.20","5,999.60","5,968.70","6,025.30","6,124.00","6,031.90","6,013.80","6,044.50","6,090.40","6,080.70","6,189.90","6,215.80","6,262.50","6,317.90","6,277.90","6,351.70","6,370.20","6,381.80","6,420.40","6,443.50","6,427.20","6,429.20","6,424.40","6,422.10","6,488.30","6,516.20","6,559.80","6,598.20","6,610.90","6,605.40","6,584.80","6,660.10","6,647.70","6,690.60","6,680.60","6,679.00","6,668.70","6,671.70","6,629.60","6,664.00","6,674.30","6,711.90","6,703.80","6,702.10","6,759.10","6,714.60","6,756.10","6,729.90","6,732.30","6,734.30","6,784.00","6,743.40","6,717.30","6,685.50","6,708.80","6,700.40","6,726.90","6,746.30","6,797.40","6,787.30","6,778.40","6,816.60"
,Trend-cycle 10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Part-time employment ,"Seasonally adjusted  (x 1,000)","1,355.50","1,322.50","1,333.40","1,308.60","1,329.20","1,294.80","1,290.50","1,270.30","1,305.00","1,275.00","1,266.50","1,268.80","1,267.00","1,319.50","1,292.10","1,317.70","1,329.20","1,325.00","1,302.00","1,298.90","1,326.80","1,362.50","1,353.80","1,355.60","1,373.10","1,354.10","1,359.00","1,357.20","1,352.80","1,372.40","1,367.90","1,414.30","1,365.60","1,374.80","1,386.50","1,385.80","1,350.40","1,358.60","1,360.50","1,326.40","1,308.00","1,326.60","1,383.50","1,330.30","1,391.90","1,352.60","1,365.60","1,383.60","1,383.80","1,372.60","1,351.60","1,390.10","1,366.60","1,393.90","1,349.30","1,361.70","1,382.40","1,379.40","1,392.00","1,373.00","1,385.30","1,357.30","1,173.00",953.8,946.1,"1,110.60","1,230.30","1,274.10","1,284.30","1,327.60","1,289.70","1,288.60","1,144.00","1,202.30","1,247.80","1,197.00","1,182.50","1,280.20","1,339.50","1,382.40","1,363.20","1,381.10","1,399.70","1,398.40","1,274.40","1,386.30","1,382.90","1,402.40","1,370.60","1,329.60","1,360.90","1,343.60","1,326.80","1,382.30","1,331.20","1,347.80","1,340.70","1,333.90","1,350.80","1,386.80","1,396.40","1,369.80","1,390.00","1,361.90","1,386.50","1,376.40","1,395.20","1,366.50","1,421.40","1,390.60","1,418.30","1,402.20","1,448.80","1,453.30","1,416.00","1,455.70","1,447.10","1,450.30","1,440.70","1,475.70","1,450.20","1,502.30","1,504.30","1,508.10","1,489.30","1,507.90","1,489.40","1,444.00","1,402.80","1,465.20","1,478.00","1,458.00"
,Trend-cycle 10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
